max_depth	min_split	min_bucket	min_cp	ganancia_promedio
6	600	100	-0.5	70438667
6	600	50	-0.5	69981333
6	600	20	-0.5	69701333
6	600	10	-0.5	69412000
6	400	1000	-0.5	65888667
6	400	700	-0.5	64367333
6	400	400	-0.5	64712667
6	400	100	-0.5	71544667
6	400	50	-0.5	70084000
6	400	20	-0.5	69304667
6	400	10	-0.5	68852000
6	200	1000	-0.5	65888667
6	200	700	-0.5	64367333
6	200	400	-0.5	64712667
6	200	100	-0.5	70658000
6	200	50	-0.5	68679333
6	200	20	-0.5	69146000
6	200	10	-0.5	68674667
6	100	1000	-0.5	65888667
6	100	700	-0.5	64367333
6	100	400	-0.5	64712667
6	100	100	-0.5	70658000
6	100	50	-0.5	68716667
6	100	20	-0.5	69314000
6	100	10	-0.5	68758667
6	50	1000	-0.5	65888667
6	50	700	-0.5	64367333
6	50	400	-0.5	64712667
6	50	100	-0.5	70658000
6	50	50	-0.5	68716667
6	50	20	-0.5	69710667
6	50	10	-0.5	69169333
6	20	1000	-0.5	65888667
6	20	700	-0.5	64367333
6	20	400	-0.5	64712667
6	20	100	-0.5	70658000
6	20	50	-0.5	68716667
6	20	20	-0.5	69575333
6	20	10	-0.5	68684000
6	10	1000	-0.5	65888667
6	10	700	-0.5	64367333
6	10	400	-0.5	64712667
6	10	100	-0.5	70658000
6	10	50	-0.5	68716667
6	10	20	-0.5	69575333
6	10	10	-0.5	68684000
8	1000	1000	-0.5	65221333
8	1000	700	-0.5	62715333
8	1000	400	-0.5	64820000
8	1000	100	-0.5	66859333
8	1000	50	-0.5	68259333
8	1000	20	-0.5	66126667
8	1000	10	-0.5	68343333
8	800	1000	-0.5	65221333
8	800	700	-0.5	62715333
8	800	400	-0.5	65188667
8	800	100	-0.5	67237333
8	800	50	-0.5	68506667
8	800	20	-0.5	66598000
8	800	10	-0.5	69673333
8	600	1000	-0.5	65221333
8	600	700	-0.5	62715333
8	600	400	-0.5	65188667
8	600	100	-0.5	67060000
8	600	50	-0.5	67470667
8	600	20	-0.5	65314667
8	600	10	-0.5	69818000
8	400	1000	-0.5	65221333
8	400	700	-0.5	62715333
8	400	400	-0.5	65188667
8	400	100	-0.5	67190667
8	400	50	-0.5	68175333
8	400	20	-0.5	64768667
8	400	10	-0.5	69365333
8	200	1000	-0.5	65221333
8	200	700	-0.5	62715333
8	200	400	-0.5	65188667
8	200	100	-0.5	65664667
8	200	50	-0.5	65258667
8	200	20	-0.5	63336000
8	200	10	-0.5	67223333
8	100	1000	-0.5	65221333
8	100	700	-0.5	62715333
8	100	400	-0.5	65188667
8	100	100	-0.5	65664667
8	100	50	-0.5	66341333
8	100	20	-0.5	62673333
8	100	10	-0.5	69052667
8	50	1000	-0.5	65221333
8	50	700	-0.5	62715333
8	50	400	-0.5	65188667
8	50	100	-0.5	65664667
8	50	50	-0.5	66341333
8	50	20	-0.5	62038667
8	50	10	-0.5	68380667
8	20	1000	-0.5	65221333
8	20	700	-0.5	62715333
8	20	400	-0.5	65188667
