fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230831 202556	-0.836540414653582	2509	349	11	1	5	72828000	54
20230831 202658	-0.999612756349415	2216	246	20	1	5	71134000	55
20230831 202751	-0.755464385155684	2190	673	13	1	5	69790000	56
20230831 202857	-0.763843907855977	2448	207	20	1	5	72037000	57
20230831 202946	-0.906106053308505	3019	39	11	1	5	65394000	58
20230831 203053	-0.542737183777338	2405	328	20	1	5	73017000	59
20230831 203152	-0.665250120523819	4049	246	20	1	5	67291000	60
20230831 203253	-0.426414729168163	2345	269	20	1	5	72366000	61
20230831 203338	-0.998291269225364	3683	1837	12	1	5	63350000	62
20230831 203436	-0.692492482202566	2617	383	18	1	5	71687000	63
20230831 203519	-0.999450360133069	3285	298	8	1	5	67963000	64
20230831 203607	-0.789123080899966	4058	722	12	1	5	67886000	65
20230831 203659	-0.722671438320015	2156	348	11	1	5	72324000	66
20230831 203839	-0.218742936175937	8	1	20	1	5	34937000	67
20230831 203918	-0.781285577178181	1086	1	7	1	5	72667000	68
20230831 203956	-0.542042434404601	722	16	7	1	5	72331000	69
20230831 204040	-0.818810534731372	1739	191	8	1	5	71127000	70
20230831 204103	-0.990008422947128	635	1	3	1	5	59080000	71
20230831 204144	-0.64495689287507	1029	1	8	1	5	70980000	72
20230831 204219	-0.402609227980639	858	2	6	1	5	72016000	73
20230831 204255	-0.441672435794873	659	301	7	1	5	75768000	74
20230831 204335	-0.436281712698469	902	331	9	1	5	72660000	75
20230831 204407	-0.728414039927516	753	376	7	1	5	73647000	76
20230831 204437	-0.451947945823747	532	265	6	1	5	72646000	77
20230831 204526	-0.999492414012251	4704	165	16	1	5	66962000	78
20230831 204617	-0.526942122391846	5072	174	12	1	5	65513000	79
20230831 204641	0.0989658889501558	6437	3216	12	1	5	0	80
20230831 204702	-0.682922063416992	7999	6	3	1	5	54502000	81
20230831 204744	-0.694583340269308	4925	1915	16	1	5	59759000	82
20230831 204807	-0.992735342802158	8000	1885	3	1	5	54096000	83
20230831 204933	-0.234264349695784	4744	59	20	1	5	66192000	84
20230831 205008	-0.300221535591493	5718	2	3	1	5	55384000	85
20230831 205054	-0.998596160179553	8000	1421	20	1	5	54096000	86
20230831 205145	-0.387151132102911	702	341	7	1	5	73941000	87
20230831 205228	-0.443478432882187	2067	350	7	1	5	74837000	88
20230831 205339	-0.371725439816547	3847	130	18	1	5	67291000	89
20230831 205405	-0.949944160658588	3134	1564	3	1	5	58352000	90
20230831 205452	-0.999411347405085	4976	2487	20	1	5	60879000	91
20230831 205538	-0.24603959187874	1270	403	7	1	5	76818000	92
20230831 205604	-0.198023587523937	528	238	3	1	5	61152000	93
20230831 205646	-0.230989642872321	2499	4	7	1	5	71617000	94
20230831 205728	-0.278173291062909	1185	573	7	1	5	72548000	95
20230831 205826	-0.827713861572672	2424	347	17	1	5	73017000	96
20230831 205902	-0.226712133220205	7988	753	7	1	5	54096000	97
20230831 205944	-0.226576168602722	1075	510	7	1	5	74270000	98
20230831 210058	-0.706071843076635	523	259	20	1	5	67242000	99
20230831 210145	-0.246834759559511	1385	248	8	1	5	74662000	100
20230831 210226	-0.488794759969575	1284	405	7	1	5	76832000	101
20230831 210314	-0.247326552876074	1018	109	7	1	5	73654000	102
20230831 210357	-0.245513084449301	1788	891	7	1	5	65611000	103
20230831 210446	-0.438534264729328	3075	1537	20	1	5	66101000	104
20230831 210537	-0.206206145862344	4608	404	12	1	5	66962000	105
20230831 210619	-0.445779284229317	1126	325	7	1	5	77546000	106
20230831 210643	-0.937575184272418	7999	3999	3	1	5	52801000	107
20230831 210722	-0.99993720429588	7997	3995	18	1	5	52801000	108
20230831 210806	-0.998789868570792	8000	319	12	1	5	53501000	109
20230831 210859	-0.948496058248304	2384	396	7	1	5	73682000	110
20230831 210927	-0.222267337381486	7999	1953	3	1	5	54096000	111
20230831 211011	-0.17736222295249	1417	348	7	1	5	76930000	112
20230831 211037	-0.607538588969633	7999	3998	3	1	5	52801000	113
20230831 211125	-0.171618751358536	5009	374	7	1	5	65513000	114
20230831 211236	-0.34413117861691	8000	3	20	1	5	52766000	115
20230831 211315	-0.457454486691871	1286	310	7	1	5	77980000	116
20230831 211353	-0.700458595947189	7999	3997	20	1	5	52801000	117
20230831 211434	-0.436802900914893	1331	308	7	1	5	77532000	118
20230831 211535	-0.141194551218146	3417	478	20	1	5	67291000	119
20230831 211636	-0.240993701644345	2546	417	16	1	5	71582000	120
20230831 211734	-0.291614340155403	3395	443	20	1	5	67291000	121
20230831 211820	-0.166376581736689	4759	1459	17	1	5	64526000	122
20230831 211857	-0.934357483858038	5737	2867	7	1	5	53725000	123
20230831 212005	-0.471363051346487	2314	401	17	1	5	73024000	124
20230831 212101	-0.183193421752207	2122	402	12	1	5	72268000	125
20230831 212202	-0.0702760216358253	6523	341	20	1	5	52003000	126
20230831 212240	-0.244051104231927	6336	3167	7	1	5	55356000	127
20230831 212320	-0.147951127559445	7995	3997	20	1	5	52801000	128
20230831 212353	-0.210712519340402	1506	359	7	1	5	74487000	129
20230831 212426	-0.136435152402189	1278	395	7	1	5	76790000	130
20230831 212510	-0.484527934664793	4157	307	7	1	5	67291000	131
20230831 212553	-0.472073085550811	1246	35	7	1	5	71624000	132
20230831 212640	-0.554373370725854	1290	469	7	1	5	73696000	133
20230831 212732	-0.518916925208492	1257	308	7	1	5	78064000	134
20230831 212847	-0.252360715461853	2411	1196	20	1	5	67186000	135
20230831 212948	-0.506385365423364	2067	1033	20	1	5	64820000	136
20230831 213036	-0.541523998057691	5372	2678	20	1	5	58996000	137
20230831 213126	-0.25637351773795	3638	1816	20	1	5	63350000	138
20230831 213222	-0.16356117617383	1563	762	15	1	5	68586000	139
20230831 213312	-0.919326739703804	3798	1899	20	1	5	62545000	140
20230831 213412	-0.788340938526721	3048	1524	15	1	5	66045000	141
20230831 213442	-0.522285171975541	6183	3088	3	1	5	53886000	142
20230831 213535	-0.131267227000732	1668	2	7	1	5	72814000	143
20230831 213624	-0.522822098084551	1240	316	8	1	5	75005000	144
20230831 213703	-0.51410802506792	1418	352	6	1	5	75068000	145
20230831 213756	-0.408401232005309	2774	369	13	1	5	72597000	146
20230831 213857	-0.14306623296725	3478	1	14	1	5	64442000	147
20230831 213941	-0.689170170965829	4	2	7	1	5	70840000	148
20230831 214040	-0.521620932110035	3391	348	18	1	5	67291000	149
20230831 214122	-0.693872949542559	5086	298	7	1	5	62664000	150
20230831 214300	-0.999234476892296	11	2	20	1	5	26229000	151
20230831 214339	-0.52109287869436	2603	317	7	1	5	72366000	152
20230831 214430	-0.347500415442632	5491	420	15	1	5	57603000	153
20230831 214524	-0.999918377311037	4654	1338	17	1	5	66997000	154
20230831 214643	-0.617357271513861	8000	1	20	1	5	52801000	155
20230831 214722	-0.360392777005368	2590	301	7	1	5	72408000	156
20230831 214822	-0.721323094251608	656	243	12	1	5	66269000	157
20230831 214928	-0.649092071654728	1900	278	20	1	5	71666000	158
20230831 215006	-0.16974291942257	1172	287	6	1	5	74501000	159
20230831 215050	-0.158850902583729	1278	395	8	1	5	74473000	160
20230831 215204	-0.533819079972471	734	292	20	1	5	68089000	161
20230831 215248	-0.689332828813118	1274	264	7	1	5	77903000	162
20230831 215331	-0.679269234773799	2033	297	7	1	5	73878000	163
20230831 215411	-0.709871381051486	1315	246	7	1	5	76370000	164
20230831 215459	-0.674352214442451	1003	291	7	1	5	77588000	165
20230831 215540	-0.516701580912429	7994	486	7	1	5	53501000	166
20230831 215603	-0.109087265534781	2936	382	3	1	5	61152000	167
20230831 215650	-0.460006057401861	4726	2362	11	1	5	62524000	168
20230831 215731	-0.4134996794212	1304	335	7	1	5	77049000	169
20230831 215812	-0.372900959702332	7995	3084	20	1	5	54096000	170
20230831 215854	-0.0974122765661606	1298	414	7	1	5	76069000	171
20230903 160022	-0.900412661269012	4194	856	18	1	5	67480000	172
20230903 160055	-0.749845806486896	2789	779	16	1	5	72226000	173
20230903 160112	0.0903723072757138	1814	274	16	1	5	0	174
20230903 160138	-0.453709022231127	2505	1031	7	1	5	66269000	175
20230903 160203	-0.100646024191727	1331	406	7	1	5	74704000	176
20230903 160225	-0.105941044319836	8000	2703	7	1	5	54096000	177
20230903 160259	-0.327674680748647	1506	309	12	1	5	74116000	178
20230903 160330	-0.452981831498515	1514	444	12	1	5	72653000	179
20230903 160345	-0.747695944464868	7048	3523	3	1	5	55230000	180
20230903 160412	-0.105727606916625	4340	2152	20	1	5	63728000	181
20230903 160426	-0.108245534587172	7997	9	3	1	5	54481000	182
20230903 160450	-0.356308256598755	7971	3914	20	1	5	53452000	183
20230903 160514	-0.930475834737006	1267	332	7	1	5	74480000	184
20230903 160545	-0.316189796679131	2623	303	11	1	5	70686000	185
20230903 160609	-0.336602005033513	1308	309	7	1	5	74655000	186
20230903 160646	-0.402761783943911	1354	361	16	1	5	75138000	187
20230903 160722	-0.255767831978911	1351	441	13	1	5	72198000	188
20230903 160800	-0.399521754964374	2417	353	17	1	5	72926000	189
20230903 160814	-0.374482058520139	8000	3991	3	1	5	53074000	190
20230903 160849	-0.362618303939786	1310	292	14	1	5	72478000	191
20230903 160905	-0.675063270249488	873	296	3	1	5	61369000	192
20230903 160919	-0.835832959463144	8000	397	3	1	5	54096000	193
20230903 160947	-0.734854877061991	8000	163	11	1	5	53494000	194
20230903 161011	-0.852078764321002	8000	3993	12	1	5	53074000	195
20230903 161045	-0.445417985196039	2590	396	16	1	5	71596000	196
20230903 161117	-0.110486715773354	2424	1210	18	1	5	64211000	197
20230903 161147	-0.400099823579974	4472	318	11	1	5	66892000	198
20230903 161212	-0.303379992621806	7995	3996	12	1	5	53074000	199
20230903 161238	-0.688059613167353	1059	306	7	1	5	74585000	200
20230903 161305	-0.665234395773992	1294	361	7	1	5	77028000	201
20230903 161331	-0.841321895296301	815	157	7	1	5	73829000	202
20230903 161345	-0.999860631226085	6731	2	3	1	5	54481000	203
20230903 161426	-0.674880336529908	1294	224	20	1	5	72849000	204
20230903 161454	-0.678731159964782	1415	566	8	1	5	70910000	205
20230903 161516	-0.24079836546378	3864	273	6	1	5	66878000	206
