Feature	Gain	Cover	Frequency
ctarjeta_visa_rank	0.0030804029548277	0.00163266814030417	0.00176911450883845
ctarjeta_visa_transacciones_rank	0.00302344372525765	0.00293018468503602	0.00205604359777706
mrentabilidad_lag_1	0.00301230225801656	0.00220480298010513	0.00661191766848517
chomebanking_transacciones_rank	0.00300607388331869	0.00201455771301756	0.00494198554446906
mcomisiones_lag_2	0.00298011323291419	0.00217008662452293	0.00488720597912923
Visa_mpagominimo	0.00295800548169824	0.00251931438277526	0.00284009120918289
mcaja_ahorro_dolares_rank	0.00295582638791363	0.00320891877305567	0.00448613268576004
ccomisiones_mantenimiento_rank	0.0029540827342241	0.00318248291598236	0.00418762025260861
ccomisiones_otras_rank	0.0029258390240396	0.0018709615403527	0.0053237532641502
mcomisiones	0.00288728124995405	0.00151702318382217	0.00423853870321083
Master_fechaalta_lag_1	0.00288110351405761	0.00217060893242083	0.00476992461897434
Master_fechaalta_rank	0.00286005816385505	0.00245039380062935	0.00449843998898617
mcomisiones_mantenimiento	0.00284739035205093	0.00676580641452973	0.00289245757781172
Visa_fechaalta_rank	0.00280342850987054	0.00204730448860782	0.0044697229481252
Visa_msaldototal	0.00279001958423058	0.00344035226528504	0.00237941195705186
mprestamos_personales_lag_1	0.00278222144020446	0.00383892159745689	0.00208403667962473
Visa_fechaalta_lag_1	0.00277219760351066	0.00205223342849463	0.00473034819291384
mpasivos_margen_lag_2	0.00274913413882534	0.00208152683012647	0.00541473078015513
Visa_msaldopesos_rank	0.00274112365741799	0.00166439186552117	0.00200512514717483
thomebanking_rank	0.002708874605453	0.00352217883047199	0.00478850623364908
mcomisiones_mantenimiento_lag_2	0.00265513086063002	0.00361057421008718	0.00338161255113262
Visa_mfinanciacion_limite_lag_2	0.00264072626155612	0.00190373436697337	0.00421971576886499
cprestamos_personales	0.00262278057858385	0.0020044455337816	0.000908085922351535
Visa_mpagominimo_rank	0.00260376163529219	0.00268454344787171	0.00265113790671112
Visa_mlimitecompra_rank	0.00256134732732432	0.0019113068228946	0.00452739834951824
chomebanking_transacciones	0.00254664851064888	0.00170803134929677	0.00368784721375928
mpasivos_margen_lag_1	0.00254517497085938	0.00215923668222934	0.00482808265970958
Visa_mpagospesos_lag_2	0.00253708286383963	0.00206041690914424	0.00410098649068349
chomebanking_transacciones_lag_1	0.00251790259204661	0.00166028164197039	0.00338957610027894
ctarjeta_debito_transacciones	0.00250395377996364	0.000906688164104003	0.000890228266690091
Visa_mfinanciacion_limite_lag_1	0.00249751632851054	0.00269735751576421	0.00371994273001565
Visa_mpagospesos_lag_1	0.00247278209035294	0.00541892830970832	0.00334613855948084
mcomisiones_lag_1	0.00245740017031499	0.00188481376768526	0.00439129405501751
Master_mfinanciacion_limite_rank	0.00244172607102954	0.00181131326045058	0.00444390174331744
mcomisiones_rank	0.00244147500469136	0.00205975936945837	0.00469053044718224
Visa_mpagominimo_lag_1	0.00241467031010525	0.00224219703789307	0.0028038932585178
