fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230919 072952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7263	TRUE	540187	0.0175266811265277	0.308015337711107	216	922	14975	623455000	61
20230919 102042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8161	TRUE	540187	0.0249075824196375	0.320768265934417	1342	905	14986	600705000	62
20230919 112442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2484	TRUE	540187	0.0222333296567516	0.324385062160948	2	1022	14931	608370000	63
20230919 114153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1197	TRUE	540187	0.168799511179063	0.873057241160659	3671	1017	14999	572915000	64
20230919 131811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7202	TRUE	540187	0.0100421684812002	0.302423299056345	2	657	14997	617155000	65
20230919 144054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6340	TRUE	540187	0.0101644728380108	0.292256326244029	7	868	14253	598570000	66
20230919 145932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1268	TRUE	540187	0.0473413565669864	0.334782262163738	2	913	15000	592760000	67
20230919 151851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1464	TRUE	540187	0.0638252939136696	0.419917300727162	457	450	14496	601895000	68
20230919 153022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1022	TRUE	540187	0.179716921119247	0.798878044241001	1663	598	14995	596715000	69
20230919 153916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	724	TRUE	540187	0.185267471985069	0.362830837794606	58	708	15000	5.95e+08	70
20230919 154807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	627	TRUE	540187	0.216290526435931	0.454566141653911	1230	749	15000	575680000	71
20230919 155246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	338	TRUE	540187	0.206744223737468	0.200692843890118	418	679	13387	527625000	72
20230919 160518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	980	TRUE	540187	0.164739914045278	0.458344451679452	659	616	14996	606235000	73
20230919 170835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5653	TRUE	540187	0.0165423893874986	0.24560320450069	28	671	12034	556150000	74
20230919 192243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4451	TRUE	540187	0.0142080438733417	0.51543084784121	177	932	14995	628075000	75
20230919 201238	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1679	TRUE	540187	0.0302113649129773	0.618747539145285	187	941	14999	621075000	76
20230919 202409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	920	TRUE	540187	0.286018531394122	0.631909635337742	7996	708	14996	521675000	77
20230919 203509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	784	TRUE	540187	0.199037164468681	0.889264643410724	1365	999	14998	592515000	78
20230919 204421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	801	TRUE	540187	0.278113286412568	0.889323348898206	1546	1024	14999	586915000	79
20230919 205130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	754	TRUE	540187	0.299226274281975	0.999883689245222	4884	897	13691	523530000	80
20230919 220409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9990	TRUE	540187	0.0103333072670428	0.892056164225682	7982	1018	15000	486360000	81
20230919 221304	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	954	TRUE	540187	0.248427189573963	0.901664559622182	4177	1007	14998	561715000	82
20230919 221935	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	500	TRUE	540187	0.282621823453664	0.869735805902747	570	1024	11261	509180000	83
20230919 222038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	540187	0.299549415432992	0.666669200926478	23	756	14998	265195000	84
20230919 222629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	551	TRUE	540187	0.273454859987258	0.966169022732355	3052	1024	13817	533295000	85
20230919 223401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	810	TRUE	540187	0.276706253004874	0.203867164111335	2651	575	11137	469175000	86
20230919 224053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	849	TRUE	540187	0.270087150188092	0.202683418209454	7711	421	13403	467320000	87
20230919 235828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9994	TRUE	540187	0.0101396152898401	0.272163956492377	8000	592	12541	425180000	88
20230920 000529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	550	TRUE	540187	0.260062341912372	0.423093984842749	2013	1019	15000	543480000	89
20230920 004242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2299	TRUE	540187	0.0208269767067929	0.452927717568534	23	932	14997	613515000	90
20230920 005341	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	930	TRUE	540187	0.171545166047372	0.77982819621741	1260	779	14018	580895000	91
20230920 010121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	595	TRUE	540187	0.229085694243751	0.948620376484961	542	1023	15000	593880000	92
